problem_latex,context_text,problem_opt,input_text,label,problem_raw,student_answer,facet_mech,answer_latex,prob_ans_latex,answer_opt,prob_ans_opt
"\frac{8}{4} \, + \, \frac{8}{4}",The problem is 8/4 + 8/4. The student response is 0/1.,ADD FRAC 8 4 FRAC 8 4,"[CLS] \frac{8}{4} \, + \, \frac{8}{4} \,=\, \frac{0}{1} [SEP] The problem is 8/4 + 8/4. The student response is 0/1. [SEP] ADD FRAC 8 4 FRAC 8 4 [SEP]",pf-e,8/4 + 8/4,0/1,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators  [MECH] Uses denominator product in add/sub context.,\frac{0}{1},"\frac{8}{4} \, + \, \frac{8}{4} \,=\, \frac{0}{1}",FRAC 0 1,ADD FRAC 8 4 FRAC 8 4 EQ FRAC 0 1
"\frac{8}{4} \, + \, \frac{8}{4}",The problem is 8/4 + 8/4. The student response is 5/1.,ADD FRAC 8 4 FRAC 8 4,"[CLS] \frac{8}{4} \, + \, \frac{8}{4} \,=\, \frac{5}{1} [SEP] The problem is 8/4 + 8/4. The student response is 5/1. [SEP] ADD FRAC 8 4 FRAC 8 4 [SEP]",a,8/4 + 8/4,5/1,[OFAM] Arithmetic [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] integer calculation slip  [MECH] Local integer slip.,\frac{5}{1},"\frac{8}{4} \, + \, \frac{8}{4} \,=\, \frac{5}{1}",FRAC 5 1,ADD FRAC 8 4 FRAC 8 4 EQ FRAC 5 1
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 2 1/5.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 2\,\frac{1}{5} [SEP] The problem is 4/3 - 3 1/2. The student response is 2 1/5. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",conv-a,4/3 - 3 1/2,2 1/5,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; mixing numerator and denominator operations  [MECH] Conversion bundles whole and part before operating.,"2\,\frac{1}{5}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 2\,\frac{1}{5}",MIX 2 FRAC 1 5,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 2 FRAC 1 5
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 8/21.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, \frac{8}{21} [SEP] The problem is 4/3 - 3 1/2. The student response is 8/21. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",conv-b,4/3 - 3 1/2,8/21,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] mixing numerator and denominator operations; changing denominators inconsistently  [MECH] Conversion uses a reciprocal/cross-inversion while preparing.,\frac{8}{21},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, \frac{8}{21}",FRAC 8 21,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC 8 21
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 3 2/3.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 3\,\frac{2}{3} [SEP] The problem is 4/3 - 3 1/2. The student response is 3 2/3. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",conv-c,4/3 - 3 1/2,3 2/3,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; combining numerators without first aligning denominators  [MECH] Conversion linearizes mixed forms into whole×den+num.,"3\,\frac{2}{3}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 3\,\frac{2}{3}",MIX 3 FRAC 2 3,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 3 FRAC 2 3
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is -3/5.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{3}{5} [SEP] The problem is 4/3 - 3 1/2. The student response is -3/5. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",conv-d,4/3 - 3 1/2,-3/5,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for  [MECH] Other conversion rewrite not required by the operation.,-\frac{3}{5},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{3}{5}",FRAC -3 5,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC -3 5
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 2 1/6.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 2\,\frac{1}{6} [SEP] The problem is 4/3 - 3 1/2. The student response is 2 1/6. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",po-a,4/3 - 3 1/2,2 1/6,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] additive inverse used as a rewrite; changing representations not called for  [MECH] Adds a symmetric/additive-inverse transformation.,"2\,\frac{1}{6}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 2\,\frac{1}{6}",MIX 2 FRAC 1 6,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 2 FRAC 1 6
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is -6/13.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{6}{13} [SEP] The problem is 4/3 - 3 1/2. The student response is -6/13. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",po-b,4/3 - 3 1/2,-6/13,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] reciprocal/inverse used as a rewrite; mixing numerator and denominator operations  [MECH] Applies a multiplicative-inverse transformation.,-\frac{6}{13},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{6}{13}",FRAC -6 13,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC -6 13
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 5 3/5.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 5\,\frac{3}{5} [SEP] The problem is 4/3 - 3 1/2. The student response is 5 3/5. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",po-c,4/3 - 3 1/2,5 3/5,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators; distributive rewrite across fractions  [MECH] Invokes distribution over fractional parts.,"5\,\frac{3}{5}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 5\,\frac{3}{5}",MIX 5 FRAC 3 5,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 5 FRAC 3 5
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 11/1.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, \frac{11}{1} [SEP] The problem is 4/3 - 3 1/2. The student response is 11/1. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",po-d,4/3 - 3 1/2,11/1,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] not applicable  [MECH] Other property-of-operation combination.,\frac{11}{1},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, \frac{11}{1}",FRAC 11 1,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC 11 1
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 4/5.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, \frac{4}{5} [SEP] The problem is 4/3 - 3 1/2. The student response is 4/5. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",pf-a,4/3 - 3 1/2,4/5,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating across denominators; changing denominators inconsistently  [MECH] Operates directly on denominators when combining.,\frac{4}{5},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, \frac{4}{5}",FRAC 4 5,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC 4 5
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 5 1/2.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 5\,\frac{1}{2} [SEP] The problem is 4/3 - 3 1/2. The student response is 5 1/2. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",pf-b,4/3 - 3 1/2,5 1/2,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] choosing denominator by one term/size; changing denominators inconsistently  [MECH] Chooses one denominator as if common.,"5\,\frac{1}{2}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 5\,\frac{1}{2}",MIX 5 FRAC 1 2,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 5 FRAC 1 2
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 9 1/3.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 9\,\frac{1}{3} [SEP] The problem is 4/3 - 3 1/2. The student response is 9 1/3. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",pf-c,4/3 - 3 1/2,9 1/3,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating numerators in isolation; mixing numerator and denominator operations  [MECH] Operates only on numerators detached from denominators.,"9\,\frac{1}{3}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 9\,\frac{1}{3}",MIX 9 FRAC 1 3,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 9 FRAC 1 3
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is 5 1/2.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 5\,\frac{1}{2} [SEP] The problem is 4/3 - 3 1/2. The student response is 5 1/2. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",pf-d,4/3 - 3 1/2,5 1/2,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating numerators in isolation  [MECH] Other numerator-only handling.,"5\,\frac{1}{2}","\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, 5\,\frac{1}{2}",MIX 5 FRAC 1 2,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ MIX 5 FRAC 1 2
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is -1/2.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{1}{2} [SEP] The problem is 4/3 - 3 1/2. The student response is -1/2. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",pf-e,4/3 - 3 1/2,-1/2,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators  [MECH] Uses denominator product in add/sub context.,-\frac{1}{2},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{1}{2}",FRAC -1 2,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC -1 2
"\frac{4}{3} \, - \, 3\,\frac{1}{2}",The problem is 4/3 - 3 1/2. The student response is -2/1.,SUB FRAC 4 3 MIX 3 FRAC 1 2,"[CLS] \frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{2}{1} [SEP] The problem is 4/3 - 3 1/2. The student response is -2/1. [SEP] SUB FRAC 4 3 MIX 3 FRAC 1 2 [SEP]",a,4/3 - 3 1/2,-2/1,[OFAM] Arithmetic [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] integer calculation slip  [MECH] Local integer slip.,-\frac{2}{1},"\frac{4}{3} \, - \, 3\,\frac{1}{2} \,=\, -\frac{2}{1}",FRAC -2 1,SUB FRAC 4 3 MIX 3 FRAC 1 2 EQ FRAC -2 1
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 4 1/27.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 4\,\frac{1}{27} [SEP] The problem is 5 6/17 + 18/10. The student response is 4 1/27. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",conv-a,5 6/17 + 18/10,4 1/27,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; mixing numerator and denominator operations  [MECH] Conversion bundles whole and part before operating.,"4\,\frac{1}{27}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 4\,\frac{1}{27}",MIX 4 FRAC 1 27,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 4 FRAC 1 27
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 2 149/153.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 2\,\frac{149}{153} [SEP] The problem is 5 6/17 + 18/10. The student response is 2 149/153. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",conv-b,5 6/17 + 18/10,2 149/153,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] mixing numerator and denominator operations; changing denominators inconsistently  [MECH] Conversion uses a reciprocal/cross-inversion while preparing.,"2\,\frac{149}{153}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 2\,\frac{149}{153}",MIX 2 FRAC 149 153,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 2 FRAC 149 153
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 6 7/17.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 6\,\frac{7}{17} [SEP] The problem is 5 6/17 + 18/10. The student response is 6 7/17. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",conv-c,5 6/17 + 18/10,6 7/17,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; combining numerators without first aligning denominators  [MECH] Conversion linearizes mixed forms into whole×den+num.,"6\,\frac{7}{17}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 6\,\frac{7}{17}",MIX 6 FRAC 7 17,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 6 FRAC 7 17
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 2 19/27.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 2\,\frac{19}{27} [SEP] The problem is 5 6/17 + 18/10. The student response is 2 19/27. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",conv-d,5 6/17 + 18/10,2 19/27,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for  [MECH] Other conversion rewrite not required by the operation.,"2\,\frac{19}{27}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 2\,\frac{19}{27}",MIX 2 FRAC 19 27,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 2 FRAC 19 27
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is -7 13/85.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, -7\,\frac{13}{85} [SEP] The problem is 5 6/17 + 18/10. The student response is -7 13/85. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",po-a,5 6/17 + 18/10,-7 13/85,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] additive inverse used as a rewrite; changing representations not called for  [MECH] Adds a symmetric/additive-inverse transformation.,"-7\,\frac{13}{85}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, -7\,\frac{13}{85}",-MIX 7 FRAC 13 85,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ -MIX 7 FRAC 13 85
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 85/608.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, \frac{85}{608} [SEP] The problem is 5 6/17 + 18/10. The student response is 85/608. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",po-b,5 6/17 + 18/10,85/608,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] reciprocal/inverse used as a rewrite; mixing numerator and denominator operations  [MECH] Applies a multiplicative-inverse transformation.,\frac{85}{608},"5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, \frac{85}{608}",FRAC 85 608,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ FRAC 85 608
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 60 2/3.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 60\,\frac{2}{3} [SEP] The problem is 5 6/17 + 18/10. The student response is 60 2/3. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",po-c,5 6/17 + 18/10,60 2/3,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators; distributive rewrite across fractions  [MECH] Invokes distribution over fractional parts.,"60\,\frac{2}{3}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 60\,\frac{2}{3}",MIX 60 FRAC 2 3,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 60 FRAC 2 3
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 15 4/7.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 15\,\frac{4}{7} [SEP] The problem is 5 6/17 + 18/10. The student response is 15 4/7. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",po-d,5 6/17 + 18/10,15 4/7,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] not applicable  [MECH] Other property-of-operation combination.,"15\,\frac{4}{7}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 15\,\frac{4}{7}",MIX 15 FRAC 4 7,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 15 FRAC 4 7
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 3 10/27.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 3\,\frac{10}{27} [SEP] The problem is 5 6/17 + 18/10. The student response is 3 10/27. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",pf-a,5 6/17 + 18/10,3 10/27,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating across denominators; changing denominators inconsistently  [MECH] Operates directly on denominators when combining.,"3\,\frac{10}{27}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 3\,\frac{10}{27}",MIX 3 FRAC 10 27,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 3 FRAC 10 27
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 10 9/10.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 10\,\frac{9}{10} [SEP] The problem is 5 6/17 + 18/10. The student response is 10 9/10. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",pf-b,5 6/17 + 18/10,10 9/10,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] choosing denominator by one term/size; changing denominators inconsistently  [MECH] Chooses one denominator as if common.,"10\,\frac{9}{10}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 10\,\frac{9}{10}",MIX 10 FRAC 9 10,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 10 FRAC 9 10
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 96 6/17.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 96\,\frac{6}{17} [SEP] The problem is 5 6/17 + 18/10. The student response is 96 6/17. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",pf-c,5 6/17 + 18/10,96 6/17,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating numerators in isolation; mixing numerator and denominator operations  [MECH] Operates only on numerators detached from denominators.,"96\,\frac{6}{17}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 96\,\frac{6}{17}",MIX 96 FRAC 6 17,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 96 FRAC 6 17
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 10 9/10.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 10\,\frac{9}{10} [SEP] The problem is 5 6/17 + 18/10. The student response is 10 9/10. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",pf-d,5 6/17 + 18/10,10 9/10,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating numerators in isolation  [MECH] Other numerator-only handling.,"10\,\frac{9}{10}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 10\,\frac{9}{10}",MIX 10 FRAC 9 10,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 10 FRAC 9 10
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 73/170.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, \frac{73}{170} [SEP] The problem is 5 6/17 + 18/10. The student response is 73/170. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",pf-e,5 6/17 + 18/10,73/170,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators  [MECH] Uses denominator product in add/sub context.,\frac{73}{170},"5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, \frac{73}{170}",FRAC 73 170,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ FRAC 73 170
"5\,\frac{6}{17} \, + \, \frac{18}{10}",The problem is 5 6/17 + 18/10. The student response is 7 14/85.,ADD MIX 5 FRAC 6 17 FRAC 18 10,"[CLS] 5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 7\,\frac{14}{85} [SEP] The problem is 5 6/17 + 18/10. The student response is 7 14/85. [SEP] ADD MIX 5 FRAC 6 17 FRAC 18 10 [SEP]",a,5 6/17 + 18/10,7 14/85,[OFAM] Arithmetic [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] integer calculation slip  [MECH] Local integer slip.,"7\,\frac{14}{85}","5\,\frac{6}{17} \, + \, \frac{18}{10} \,=\, 7\,\frac{14}{85}",MIX 7 FRAC 14 85,ADD MIX 5 FRAC 6 17 FRAC 18 10 EQ MIX 7 FRAC 14 85
"5\,\frac{15}{20} \, + \, \frac{1}{15}",The problem is 5 15/20 + 1/15. The student response is 3 11/35.,ADD MIX 5 FRAC 15 20 FRAC 1 15,"[CLS] 5\,\frac{15}{20} \, + \, \frac{1}{15} \,=\, 3\,\frac{11}{35} [SEP] The problem is 5 15/20 + 1/15. The student response is 3 11/35. [SEP] ADD MIX 5 FRAC 15 20 FRAC 1 15 [SEP]",conv-a,5 15/20 + 1/15,3 11/35,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; mixing numerator and denominator operations  [MECH] Conversion bundles whole and part before operating.,"3\,\frac{11}{35}","5\,\frac{15}{20} \, + \, \frac{1}{15} \,=\, 3\,\frac{11}{35}",MIX 3 FRAC 11 35,ADD MIX 5 FRAC 15 20 FRAC 1 15 EQ MIX 3 FRAC 11 35
"5\,\frac{15}{20} \, + \, \frac{1}{15}",The problem is 5 15/20 + 1/15. The student response is 23/60.,ADD MIX 5 FRAC 15 20 FRAC 1 15,"[CLS] 5\,\frac{15}{20} \, + \, \frac{1}{15} \,=\, \frac{23}{60} [SEP] The problem is 5 15/20 + 1/15. The student response is 23/60. [SEP] ADD MIX 5 FRAC 15 20 FRAC 1 15 [SEP]",conv-b,5 15/20 + 1/15,23/60,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] mixing numerator and denominator operations; changing denominators inconsistently  [MECH] Conversion uses a reciprocal/cross-inversion while preparing.,\frac{23}{60},"5\,\frac{15}{20} \, + \, \frac{1}{15} \,=\, \frac{23}{60}",FRAC 23 60,ADD MIX 5 FRAC 15 20 FRAC 1 15 EQ FRAC 23 60
